symbol: s3
template: jk2_init() Found child <*> in scoreboard slot <*>
3,6725,10,
4,6726,8,
5,6728,6,
12,6736,10,
13,6733,7,
14,6734,9,
18,6738,6,
19,6741,9,
20,6740,7,
21,6737,8,
28,6748,6,
29,6744,10,
30,6745,8,
35,6750,7,
36,6751,9,
37,6752,10,
42,6754,8,
43,6755,6,
44,6756,7,
47,6763,10,
48,6766,6,
49,6767,7,
50,6765,8,
59,6768,9,
62,8527,10,
63,8533,8,
68,8536,6,
69,8539,7,
74,8541,9,
77,8547,10,
80,8554,6,
81,8553,8,
86,8560,7,
89,8565,9,
90,8573,10,
95,8584,7,
96,8587,9,
97,8603,10,
98,8605,8,
99,8764,10,
100,8765,11,
101,8763,9,
102,8744,8,
103,8743,7,
104,8738,6,
105,8766,12,
120,25792,6,
123,25798,7,
124,25803,8,
129,25805,9,
133,1000,10,
136,32347,6,
137,32348,7,
141,32352,9,
142,32353,10,
143,32354,6,
146,32359,9,
147,32360,11,
148,32358,8,
149,32355,7,
158,32388,8,
159,32387,7,
160,32386,6,
165,32389,9,
166,32391,10,
167,32390,8,
168,32392,6,
177,32410,7,
178,32411,9,
179,32423,9,
180,32422,8,
181,32419,6,
182,32421,11,
183,32420,7,
184,32424,10,
195,32425,6,
198,32432,7,
199,32434,9,
200,32433,8,
205,32435,10,
210,32436,6,
211,32437,7,
215,32438,8,
218,32440,10,
219,32439,9,
220,32441,6,
225,32442,7,
226,32443,8,
227,32444,9,
232,32445,10,
235,32447,7,
236,32446,6,
237,32448,8,
242,32449,9,
244,32450,10,
246,32452,7,
247,32451,6,
252,32454,7,
253,32453,8,
254,32455,9,
255,32467,9,
256,32464,8,
257,32465,7,
258,32466,11,
259,32457,6,
266,32475,8,
267,32478,11,
268,32477,10,
269,32479,6,
270,32480,8,
271,32476,7,
282,32483,7,
285,32507,9,
288,32529,6,
289,32528,10,
294,32548,9,
295,32546,8,
296,32547,7,
303,32549,10,
304,32550,6,
309,32551,8,
310,32552,7,
312,32554,10,
314,32553,9,
321,32556,8,
322,32555,6,
323,32557,7,
329,32558,9,
330,32560,6,
331,32561,8,
332,32563,9,
333,32564,10,
334,32565,11,
335,32575,6,
336,32576,7,
337,32569,9,
338,32572,10,
339,32577,11,
343,32578,8,
344,32580,6,
345,32581,7,
346,32579,9,
351,32582,10,
352,32584,9,
353,32583,8,
360,32585,6,
361,32587,10,
362,32586,7,
363,32588,8,
368,32592,10,
369,32591,7,
370,32594,6,
371,32593,8,
372,32597,10,
373,32600,9,
374,32601,7,
377,32605,9,
378,32604,6,
379,32622,7,
380,32623,11,
381,32624,8,
382,32621,9,
391,32626,6,
394,32627,9,
395,32628,7,
400,32630,8,
401,32629,10,
406,32633,9,
407,32634,11,
408,32632,7,
411,32636,6,
412,32637,7,
413,32638,9,
414,32640,8,
415,32641,6,
416,32642,7,
417,32646,6,
418,32648,9,
419,32652,7,
420,32649,10,
421,32651,6,
422,32650,8,
429,32660,6,
430,32658,10,
431,32659,8,
432,32657,9,
435,32663,10,
436,32664,8,
