symbol: s99
template: iar <*> dear <*>
1532,00106210,0244c1dc,
1535,00106210,0244c1dc,
1536,00106210,0244c20c,
1537,00106228,0244c1ec,
1538,00106210,0244c20c,
1539,00106210,0244c20c,
1540,00106228,0244c1ec,
1541,00106228,0244c1ec,
1543,00106228,0244c21c,
1548,00106228,0244c1ec,
1549,00106210,0244c20c,
1550,00106228,0244c1ec,
1559,00106210,0244c20c,
1560,00106210,0244c1dc,
1561,00106228,0244c21c,
1562,00106210,0244c1dc,
1565,00106228,0244c21c,
1568,00106210,0244c23c,
1569,00106210,0244c23c,
1570,00106210,0244c26c,
1571,00106228,0244c24c,
1572,00106228,0244c27c,
1573,00106228,0244c27c,
1574,00106228,0244c27c,
1575,00106568,02494bbc,
1578,00106580,02494bcc,
1579,00106568,02494bbc,
1580,00106580,02494bcc,
1581,00106534,02494c0c,
1582,00106534,02494c0c,
1583,00106580,02494bfc,
1584,00106568,02494bec,
1585,00106568,02494bec,
1586,00106534,02494c3c,
1587,00106580,02494bfc,
1588,00106534,02494c3c,
1589,00106534,02494c3c,
1590,00106580,02494c2c,
1591,00106580,02494c2c,
1593,00106568,045e140c,
1594,00106580,045e141c,
1595,00106580,045e141c,
1596,00106580,045e141c,
1597,00106534,045e145c,
1598,00106568,045e147c,
1599,00106580,045e148c,
1617,00106570,0245a10c,
1619,00106588,0245a17c,
1634,00106834,0245cd0c,
1639,00106704,0245b80c,
1641,00106704,0245b83c,
1642,00106704,0245d57c,
1648,00106390,02f67cfc,
1649,00106704,0245b6bc,
1652,00106704,0245b77c,
1663,00106988,02f7bd6c,
1670,00106678,0252523c,
1680,00106570,0245a5bc,
1681,00106570,0245a5ec,
1687,00106348,024696bc,
1688,00106204,02f75edc,
1702,00106200,0247016c,
1705,00106200,0247019c,
1707,00106200,0247019c,
1715,00106200,0247019c,
1725,00106448,0246dbbc,
1726,00106448,0246db5c,
1727,00106448,0246dbec,
1729,00106288,02f7a0fc,
1730,00113890,0fee9c3c,
1731,00113898,0fee9c4c,
1732,00113898,0fee9c4c,
1741,00106274,0246da8c,
1742,00106448,0246dacc,
1743,00106298,02f7a18c,
