symbol: s148
template: <*> total interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.
1810,10722,0,0,0,
1811,10740,0,0,0,
1812,10744,0,0,0,
1813,10700,0,0,0,
1814,10732,0,0,0,
1817,10655,0,0,0,
1818,10650,0,0,0,
1820,10686,0,0,0,
1822,10674,0,0,0,
1823,10722,0,0,0,
1825,10730,0,0,0,
1826,10686,0,0,0,
1827,10692,0,0,0,
1828,10660,0,0,0,
1829,10752,0,0,0,
1830,10732,0,0,0,
1832,10676,0,0,0,
1833,10752,0,0,0,
1835,10728,0,0,0,
1836,10712,0,0,0,
1837,10718,0,0,0,
1838,10722,0,0,0,
1839,10644,0,0,0,
1843,10738,0,0,0,
1844,10646,0,0,0,
1846,10710,0,0,0,
1849,10706,0,0,0,
1852,10765,0,0,0,
1854,10698,0,0,0,
1855,10744,0,0,0,
1856,10740,0,0,0,
1858,10684,0,0,0,
1859,10652,0,0,0,
1863,1966,0,0,0,
1865,10738,0,0,0,
1867,10714,0,0,0,
1869,10718,0,0,0,
1871,10698,0,0,0,
1874,10644,0,0,0,
1875,10752,0,0,0,
1876,10698,0,0,0,
1877,10666,0,0,0,
1879,10738,0,0,0,
1881,10744,0,0,0,
1884,10663,0,0,0,
1885,10766,0,0,0,
1891,10722,0,0,0,
1892,10680,0,0,0,
1893,10740,0,0,0,
1896,10684,0,0,0,
1899,10616,0,0,0,
1900,10754,0,0,0,
1901,10668,0,0,0,
1902,10708,0,0,0,
1903,10676,0,0,0,
1904,10640,0,0,0,
1905,10666,0,0,0,
1906,10676,0,0,0,
1907,10722,0,0,0,
1909,10684,0,0,0,
1911,10676,0,0,0,
1914,10714,0,0,0,
1915,10712,0,0,0,
1917,10636,0,0,0,
1918,10664,0,0,0,
1919,10730,0,0,0,
1920,10722,0,0,0,
1921,10722,0,0,0,
1924,10736,0,0,0,
1928,720,0,0,0,
1929,720,0,0,0,
