symbol: s31
template: memory limit: <*> MB, free: <*> MB
66,96258.00,95746.00,
157,96258.00,95746.00,
248,96258.00,95746.00,
339,96258.00,95746.00,
436,96258.00,95746.00,
518,96258.00,95746.00,
611,96258.00,95746.00,
711,96258.00,95746.00,
796,96258.00,95746.00,
887,96258.00,95746.00,
994,96258.00,95746.00,
1079,96258.00,95746.00,
1166,96258.00,95746.00,
1269,96258.00,95746.00,
1364,96258.00,95746.00,
1451,96258.00,95746.00,
1545,96258.00,95746.00,
1646,96258.00,95746.00,
1735,96258.00,95746.00,
1829,96258.00,95746.00,
1920,96258.00,95746.00,
