symbol: s5
template: boot (command <*>
17,1911),
18,1910),
19,1978),
20,1967),
22,1999),
24,1981),
25,1973),
28,2152),
30,2141),
31,2110),
32,2160),
38,2183),
43,2257),
44,2316),
45,2316),
49,2368),
50,2392),
51,2406),
52,2417),
53,2423),
56,2464),
58,2520),
60,2517),
63,2514),
65,2625),
67,2616),
68,2619),
69,2616),
70,2616),
71,2602),
73,2584),
75,2550),
76,2548),
77,2538),
79,2686),
83,2790),
90,2960),
92,2999),
98,3138),
99,3169),
100,3169),
101,3194),
102,3320),
103,3318),
104,3317),
107,3334),
109,3413),
110,3473),
114,3519),
115,3512),
116,3579),
117,3572),
118,3580),
120,3615),
122,3624),
124,3639),
126,3696),
131,3951),
132,3928),
133,3939),
134,3964),
138,4024),
141,4118),
144,4109),
146,4176),
147,4170),
151,4223),
