symbol: s95
template: NETWORK: requery, <*> <*> <*> <*> <*> items, fQueryRetries, <*> fLastRetryTimestamp, <*>
209,0,,0,,0,,0,,250,,0,,520665636.6,
226,0,,0,,0,,0,,250,,0,,520708962.7,
390,0,,0,,0,,0,,252,,0,,520765684.9,
437,0,,0,,0,,0,,252,,0,,520783088.4,
706,0,,0,,0,,0,,320,,1,,520841203.7,
821,0,,0,,0,,0,,320,,1,,520871064.1,
957,0,,0,,0,,0,,300,,0,,520899307.1,
1160,0,,0,,0,,0,,284,,0,,520934130.6,
1278,0,,0,,0,,0,,252,,0,,520989480.3,
1350,0,,0,,0,,0,,299,,0,,521006902.2,
1400,0,,0,,0,,0,,302,,0,,521048292.6,
1401,0,,0,,0,,0,,291,,0,,521048893.3,
1520,0,,0,,0,,0,,302,,0,,521080983.6,
1521,0,,0,,0,,0,,300,,0,,521081581.2,
1575,0,,0,,0,,0,,291,,0,,521092126.3,
1707,0,,0,,0,,0,,294,,0,,521144227.4,
1873,0,,0,,0,,0,,328,,0,,521177334.4,
