symbol: s29
template: Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver
89,3.0,0.0,3).,2703,
90,1.0,0.0,1).,2703,
91,2.0,0.0,2).,2703,
92,4.0,0.0,4).,2703,
93,0.0,0.0,0).,2703,
118,4.0,1.0,79).,2685,
119,1.0,1.0,56).,2428,
120,0.0,1.0,42).,2474,
121,3.0,1.0,78).,2651,
122,2.0,1.0,69).,2523,
147,4.0,2.0,119).,2087,
148,2.0,2.0,112).,2087,
149,3.0,2.0,118).,2087,
150,1.0,2.0,101).,2087,
151,0.0,2.0,87).,2087,
189,4.0,3.0,159).,2667,
191,3.0,3.0,158).,2667,
193,1.0,3.0,136).,2667,
194,2.0,3.0,150).,2667,
195,0.0,3.0,122).,2667,
220,0.0,4.0,171).,2099,
221,1.0,4.0,185).,2099,
222,2.0,4.0,195).,2138,
223,3.0,4.0,198).,2099,
224,4.0,4.0,199).,2138,
249,0.0,5.0,206).,2198,
250,3.0,5.0,238).,2198,
251,2.0,5.0,231).,2198,
252,4.0,5.0,239).,2198,
253,1.0,5.0,220).,2272,
278,0.0,6.0,247).,2087,
279,3.0,6.0,278).,2087,
280,2.0,6.0,273).,2087,
281,4.0,6.0,279).,2087,
282,1.0,6.0,261).,2087,
322,0.0,7.0,285).,2667,
323,3.0,7.0,318).,2667,
324,4.0,7.0,319).,2667,
325,1.0,7.0,299).,2667,
326,2.0,7.0,312).,2667,
351,0.0,8.0,321).,2141,
352,2.0,8.0,349).,2141,
353,4.0,8.0,359).,2141,
354,3.0,8.0,358).,2141,
355,1.0,8.0,335).,2111,
380,0.0,9.0,360).,2239,
381,2.0,9.0,388).,2239,
382,3.0,9.0,398).,2239,
383,1.0,9.0,374).,2298,
384,4.0,9.0,399).,2239,
409,3.0,10.0,438).,2087,
410,0.0,10.0,402).,2087,
411,4.0,10.0,439).,2087,
412,2.0,10.0,430).,2087,
413,1.0,10.0,416).,2087,
451,4.0,11.0,479).,2667,
454,0.0,11.0,450).,2667,
455,3.0,11.0,478).,2667,
456,2.0,11.0,475).,2667,
457,1.0,11.0,464).,2667,
482,0.0,12.0,480).,2155,
483,3.0,12.0,518).,2155,
484,4.0,12.0,519).,2155,
485,1.0,12.0,494).,2105,
486,2.0,12.0,508).,2155,
511,0.0,13.0,528).,2256,
512,4.0,13.0,559).,2241,
513,2.0,13.0,553).,2241,
514,1.0,13.0,542).,2241,
515,3.0,13.0,558).,2257,
540,3.0,14.0,598).,2087,
541,2.0,14.0,590).,2087,
542,0.0,14.0,562).,2087,
543,4.0,14.0,599).,2087,
544,1.0,14.0,576).,2087,
583,1.0,15.0,626).,2667,
585,3.0,15.0,638).,2667,
586,4.0,15.0,639).,2667,
587,2.0,15.0,636).,2667,
588,0.0,15.0,612).,2667,
613,2.0,16.0,671).,2163,
614,3.0,16.0,678).,2151,
615,4.0,16.0,679).,2163,
616,0.0,16.0,643).,2151,
617,1.0,16.0,657).,2163,
642,4.0,17.0,719).,2156,
643,0.0,17.0,692).,2156,
644,2.0,17.0,716).,2156,
645,3.0,17.0,718).,2156,
646,1.0,17.0,706).,2156,
670,4.0,18.0,759).,2087,
671,0.0,18.0,722).,2087,
672,3.0,18.0,758).,2087,
673,1.0,18.0,736).,2087,
675,2.0,18.0,750).,2087,
711,0.0,19.0,762).,2667,
714,3.0,19.0,798).,2667,
715,4.0,19.0,799).,2667,
718,1.0,19.0,776).,2667,
719,2.0,19.0,789).,2667,
744,4.0,20.0,839).,2076,
745,3.0,20.0,838).,2076,
