symbol: s28
template: Block <*> stored as bytes in memory (estimated size <*> B, free <*> KB)
79,rdd_2_2,850.0,320.3,
80,rdd_2_3,930.0,321.2,
81,rdd_2_1,935.0,322.1,
82,rdd_2_0,913.0,323.0,
83,rdd_2_4,890.0,323.8,
181,rdd_6_4,287.0,369.5,
182,rdd_6_3,344.0,369.9,
183,rdd_6_1,330.0,370.2,
184,rdd_6_2,252.0,370.4,
185,rdd_6_0,265.0,370.7,
312,rdd_11_0,152.0,432.1,
313,rdd_11_3,157.0,432.3,
314,rdd_11_4,145.0,432.4,
315,rdd_11_2,199.0,432.6,
316,rdd_11_1,160.0,432.7,
443,rdd_16_4,263.0,386.4,
444,rdd_16_0,191.0,386.6,
445,rdd_16_3,232.0,386.8,
446,rdd_16_2,230.0,387.0,
447,rdd_16_1,351.0,387.4,
574,rdd_21_1,162.0,403.0,
575,rdd_21_4,200.0,403.2,
576,rdd_21_3,194.0,403.4,
577,rdd_21_2,163.0,403.5,
578,rdd_21_0,244.0,403.8,
703,rdd_26_0,16.0,419.6,
704,rdd_26_3,16.0,419.6,
705,rdd_26_4,16.0,419.6,
708,rdd_26_2,16.0,419.7,
709,rdd_26_1,16.0,419.7,
804,rdd_30_0,324.0,405.4,
808,rdd_30_1,165.0,405.6,
809,rdd_30_2,250.0,405.8,
810,rdd_30_4,226.0,406.0,
811,rdd_30_3,251.0,406.3,
1128,rdd_42_0,913.0,804.8,
1133,rdd_42_4,890.0,805.7,
1134,rdd_42_2,850.0,806.5,
1135,rdd_42_1,935.0,807.4,
1136,rdd_42_3,930.0,808.4,
1168,rdd_42_5,930.0,809.3,
1172,rdd_42_6,559.0,809.8,
1173,rdd_42_9,950.0,810.7,
1175,rdd_42_8,869.0,811.6,
1176,rdd_42_7,640.0,812.2,
1208,rdd_42_10,948.0,813.1,
1210,rdd_42_11,920.0,814.0,
1212,rdd_42_13,912.0,814.9,
1215,rdd_42_12,852.0,815.8,
1216,rdd_42_14,834.0,816.6,
1248,rdd_42_15,913.0,817.5,
1251,rdd_42_16,748.0,818.2,
1252,rdd_42_17,836.0,819.0,
1255,rdd_42_19,920.0,819.9,
1256,rdd_42_18,955.0,820.8,
1288,rdd_42_20,917.0,821.7,
1291,rdd_42_22,737.0,822.5,
1292,rdd_42_21,922.0,823.4,
1295,rdd_42_24,858.0,824.2,
1297,rdd_42_23,914.0,825.1,
1328,rdd_42_25,950.0,826.0,
1331,rdd_42_27,790.0,826.8,
1332,rdd_42_26,872.0,827.6,
1336,rdd_42_28,901.0,828.5,
1338,rdd_42_29,901.0,829.4,
1368,rdd_42_30,906.0,830.3,
1371,rdd_42_31,827.0,831.1,
1372,rdd_42_32,993.0,832.1,
1379,rdd_42_34,842.0,832.9,
1382,rdd_42_33,869.0,833.7,
1408,rdd_42_35,917.0,834.6,
1411,rdd_42_37,939.0,835.5,
1412,rdd_42_36,912.0,836.4,
1417,rdd_42_38,974.0,837.4,
1418,rdd_42_39,877.0,838.2,
