symbol: t3
template: Type Date Time Input_data_size Duration(s) Throughput(bytes/s) Throughput/node
tid: 4e44d0a7
413,
HadoopWordcount,2022-10-11,21:38:49,33884,26.701,1269,317,
HadoopTerasort,2022-10-11,21:55:20,12800000,26.716,479113,119778,
HadoopWordcount,2022-10-11,22:05:17,33884,28.481,1189,297,
HadoopWordcount,2022-10-11,22:08:12,33884,27.705,1223,305,
HadoopWordcount,2022-10-11,22:09:11,33884,28.583,1185,296,
HadoopTerasort,2022-10-11,22:12:50,12800000,28.860,443520,110880,
HadoopTerasort,2022-10-11,22:14:45,12800000,25.854,495087,123771,
HadoopWordcount,2022-11-05,15:13:42,34017,27.391,1241,310,
HadoopWordcount,2022-11-05,15:23:33,34017,26.438,1286,321,
HadoopTerasort,2022-11-05,15:54:14,12800000,25.134,509270,127317,
HadoopWordcount,2022-11-05,15:54:49,35082,25.841,1357,339,
HadoopPagerank,2022-11-05,15:55:43,10712,45.624,234,58,
HadoopTerasort,2022-11-05,15:56:19,12800000,26.856,476616,119154,
HadoopWordcount,2022-11-05,15:56:54,35082,26.531,1322,330,
HadoopPagerank,2022-11-05,15:57:52,10712,48.448,221,55,
HadoopTerasort,2022-11-05,15:58:28,12800000,27.463,466081,116520,
HadoopWordcount,2022-11-05,15:59:03,35082,26.575,1320,330,
HadoopPagerank,2022-11-05,16:00:03,10712,50.887,210,52,
HadoopTerasort,2022-11-05,16:00:38,12800000,26.454,483858,120964,
HadoopPagerank,2022-11-05,16:11:04,10712,49.800,215,53,
HadoopTerasort,2022-11-05,16:25:55,12800000,28.410,450545,112636,
HadoopWordcount,2022-11-05,16:26:31,33394,26.690,1251,312,
HadoopPagerank,2022-11-05,16:27:30,10797,50.513,213,53,
HadoopTerasort,2022-11-05,16:28:10,12800000,27.707,461977,115494,
HadoopWordcount,2022-11-05,16:28:45,33394,26.312,1269,317,
HadoopPagerank,2022-11-05,16:29:42,10797,47.712,226,56,
HadoopTerasort,2022-11-05,16:30:22,12800000,27.873,459225,114806,
HadoopWordcount,2022-11-05,16:30:57,33394,26.426,1263,315,
HadoopPagerank,2022-11-05,16:31:57,10797,50.439,214,53,
HadoopTerasort,2022-11-05,16:32:36,12800000,27.500,465454,116363,
HadoopWordcount,2022-11-05,16:33:11,33394,26.692,1251,312,
HadoopPagerank,2022-11-05,16:34:10,10797,49.827,216,54,
HadoopTerasort,2022-11-05,16:34:51,12800000,28.533,448603,112150,
